# Chunk-averaged data for fix avDen and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
100000 2286 8360352
  279 -43.2214 1.58342 0.0872749
  280 -43.1714 1.56044 0.0860085
  281 -43.1214 1.58242 0.0872198
  282 -43.0714 1.52547 0.0840812
  283 -43.0214 1.66034 0.0915148
  284 -42.9714 1.54745 0.0852926
  285 -42.9214 1.62737 0.0896977
  286 -42.8714 1.63736 0.0902483
  287 -42.8214 1.57642 0.0868895
  288 -42.7714 1.55944 0.0859534
  289 -42.7214 1.61339 0.0889268
  290 -42.6714 1.58941 0.0876053
  291 -42.6214 1.51548 0.0835306
  292 -42.5714 1.5964 0.0879907
  293 -42.5214 1.67033 0.0920654
  294 -42.4714 1.63437 0.0900831
  295 -42.4214 1.58242 0.0872198
  296 -42.3714 1.58841 0.0875502
  297 -42.3214 1.62238 0.0894224
  298 -42.2714 1.59341 0.0878255
  299 -42.2214 1.57942 0.0870546
  300 -42.1714 1.63636 0.0901932
  301 -42.1214 1.5954 0.0879357
  302 -42.0714 1.53846 0.0847971
  303 -42.0214 1.56943 0.086504
  304 -41.9714 1.58941 0.0876053
  305 -41.9214 1.57443 0.0867793
  306 -41.8714 1.58042 0.0871097
  307 -41.8214 1.59341 0.0878255
  308 -41.7714 1.66533 0.0917901
  309 -41.7214 1.66434 0.091735
  310 -41.6714 1.6044 0.0884312
  311 -41.6214 1.53047 0.0843566
  312 -41.5714 1.6953 0.093442
  313 -41.5214 1.73626 0.0956995
  314 -41.4714 1.67133 0.0921204
  315 -41.4214 1.60639 0.0885414
  316 -41.3714 1.73726 0.0957546
  317 -41.3214 1.72128 0.0948736
  318 -41.2714 1.73327 0.0955344
  319 -41.2214 1.71029 0.0942679
  320 -41.1714 1.64036 0.0904135
  321 -41.1214 1.71528 0.0945432
  322 -41.0714 1.65634 0.0912945
  323 -41.0214 1.66633 0.0918451
  324 -40.9714 1.7003 0.0937173
  325 -40.9214 1.73427 0.0955894
  326 -40.8714 1.74525 0.0961951
  327 -40.8214 1.74925 0.0964154
  328 -40.7714 1.75624 0.0968008
  329 -40.7214 1.66833 0.0919553
